

i      x0        x1        u0             u1             
392     0.154     0.488     6.912e-05     -1.037e-04     
393     0.161     0.527     7.200e-05     -1.107e-04     
394     0.626     0.570     2.800e-04     -1.061e-04     
395     0.358     0.113     1.904e-04     -1.811e-05     
396     0.241     0.413     1.106e-04     -8.505e-05     
397     0.140     0.038     1.326e-04     -3.828e-06     
398     0.176     0.081     1.262e-04     -9.838e-06     
399     0.187     0.071     1.332e-04     -7.826e-06     
400     0.182     0.057     1.361e-04     -5.564e-06     
401     0.197     0.060     1.395e-04     -6.203e-06     
402     0.834     0.278     3.828e-04     -5.140e-05     
403     0.824     0.231     3.819e-04     -4.352e-05     
404     0.780     0.218     3.640e-04     -4.152e-05     
405     0.814     0.185     3.809e-04     -3.563e-05     
406     0.769     0.172     3.625e-04     -3.331e-05     
407     0.081     0.270     3.813e-05     -6.847e-05     
408     0.840     0.750     3.709e-04     -1.383e-04     
409     0.130     0.035     1.320e-04     -4.326e-06     
410     0.061     0.220     2.990e-05     -6.258e-05     
411     0.814     0.831     3.632e-04     -1.521e-04     
412     0.124     0.053     1.226e-04     -7.896e-06     
413     0.832     0.443     3.725e-04     -8.124e-05     
414     0.422     0.126     2.153e-04     -2.138e-05     
415     0.456     0.136     2.292e-04     -2.357e-05     
416     0.471     0.372     2.191e-04     -7.005e-05     
417     0.228     0.515     1.027e-04     -1.058e-04     
418     0.440     0.196     2.175e-04     -3.471e-05     
419     0.413     0.221     2.039e-04     -3.944e-05     
420     0.038     0.131     2.849e-05     -5.148e-05     
421     0.773     0.551     3.435e-04     -1.016e-04     
422     0.818     0.565     3.621e-04     -1.041e-04     
423     0.321     0.585     1.440e-04     -1.160e-04     
424     0.844     0.323     3.837e-04     -5.924e-05     
425     0.388     0.487     1.768e-04     -9.466e-05     
426     0.069     0.114     5.757e-05     -3.809e-05     
427     0.158     0.780     7.004e-05     -1.577e-04     
428     0.167     0.830     7.391e-05     -1.668e-04     
429     0.059     0.137     4.024e-05     -4.697e-05     
430     0.045     0.124     3.604e-05     -4.808e-05     
431     0.098     0.169     5.573e-05     -4.451e-05     
432     0.366     0.807     1.631e-04     -1.570e-04     
433     0.319     0.462     1.457e-04     -9.182e-05     
434     0.193     0.046     1.417e-04     -4.216e-06     
435     0.208     0.049     1.451e-04     -4.860e-06     
436     0.212     0.064     1.432e-04     -7.056e-06     
437     0.224     0.052     1.492e-04     -5.600e-06     
438     0.640     0.152     3.073e-04     -2.857e-05     
439     0.661     0.235     3.112e-04     -4.415e-05     
440     0.856     0.533     3.789e-04     -9.798e-05     
441     0.088     0.324     4.026e-05     -7.733e-05     
442     0.092     0.351     4.184e-05     -8.177e-05     
443     0.150     0.734     6.660e-05     -1.492e-04     
444     0.112     0.091     9.491e-05     -1.904e-05     
445     0.321     0.186     1.660e-04     -3.200e-05     
446     0.584     0.712     2.605e-04     -1.329e-04     
447     0.778     0.863     3.493e-04     -1.576e-04     
448     0.732     0.849     3.277e-04     -1.552e-04     
449     0.376     0.853     1.669e-04     -1.656e-04     
450     0.868     0.245     3.995e-04     -4.491e-05     
451     0.124     0.513     5.555e-05     -1.092e-04     
452     0.130     0.553     5.801e-05     -1.164e-04     
453     0.169     0.568     7.540e-05     -1.179e-04     
454     0.137     0.595     6.083e-05     -1.239e-04     
455     0.033     0.161     1.868e-05     -5.832e-05     
456     0.035     0.173     1.860e-05     -5.976e-05     
457     0.729     0.537     3.251e-04     -9.928e-05     
458     0.177     0.042     1.387e-04     -3.614e-06     
459     0.113     0.174     6.356e-05     -4.262e-05     
460     0.864     0.580     3.812e-04     -1.068e-04     
461     0.447     0.101     2.274e-04     -1.713e-05     
462     0.484     0.108     2.425e-04     -1.886e-05     
463     0.413     0.092     2.141e-04     -1.525e-05     
464     0.065     0.238     3.082e-05     -6.507e-05     
465     0.030     0.138     2.081e-05     -5.499e-05     
466     0.028     0.127     2.251e-05     -5.313e-05     
467     0.126     0.063     1.173e-04     -9.526e-06     
468     0.116     0.060     1.163e-04     -1.094e-05     
469     0.420     0.868     1.870e-04     -1.670e-04     
470     0.120     0.473     5.368e-05     -1.022e-04     
471     0.803     0.137     3.803e-04     -2.703e-05     
472     0.849     0.152     3.988e-04     -2.956e-05     
473     0.758     0.123     3.609e-04     -2.424e-05     
474     0.271     0.166     1.462e-04     -2.766e-05     
475     0.447     0.231     2.182e-04     -4.181e-05     
476     0.421     0.257     2.045e-04     -4.682e-05     
477     0.473     0.208     2.310e-04     -3.746e-05     
